OBJECTID,LEASE_NUMBER,BUS_ASC_NAME,IBLA_APPEAL_FLAG,LEASE_EXPIR_DATE,LEASE_STATUS_CD,LEASE_EFF_DATE,LEASE_EXPT_EXPIR,LEASE_STATUS_CHANGE_DT,LEASE_SECT_AREA,LEASE_SEGR_FLAG,LSE_STAT_EFF_DT,SERIAL_TYPE_CODE,SEGR_XREF_NUM,RGN_APPEAL_FLAG,PEND_LITIG_FLAG,ROYALTY_RATE,INITIAL_AREA,MINERAL_TYPE_CD,BID_SYSTEM_CODE,BID_AMOUNT,PRIMARY_TERM,SALE_DATE,SALE_NUMBER,CURRENT_AREA,ACRE_HECTARE_CD,MMS_REGION_CODE,PROT_NUMBER,PROT_NAME,BLOCK_NUMBER,AREA_CODE,AC_LAB,DATUM_CODE,TRACT_NUMBER,MMS_PLAN_AREA_CD,LEASE_IS_ACTIVE,NOTES,Shape__Area,Shape__Length
1924,Y00872,UNION,,1993/12/20 00:00:00+00,RELINQ,1984/10/01 00:00:00+00,1994/09/30 00:00:00+00,1993/12/20 00:00:00+00,0,N,1993/12/20 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,31453000,10,1984/08/22 00:00:00+00,87,2304,H,Y,NR06-04,Flaxman Island                                              ,679,FI,FI679,0,872,BFT,N,,0.0054941828993833,0.341731178696975
1925,Y00873,ARCO,,1992/10/28 00:00:00+00,RELINQ,1984/11/01 00:00:00+00,1994/10/31 00:00:00+00,1992/10/28 00:00:00+00,0,N,1992/10/28 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,3914000,10,1984/08/22 00:00:00+00,87,2304,H,Y,NR06-04,Flaxman Island                                              ,680,FI,FI680,0,873,BFT,N,,0.00549340719953761,0.341736036787561
1926,Y02263,REPSOL,,2016/05/26 00:00:00+00,RELINQ,2008/05/01 00:00:00+00,,2016/05/26 00:00:00+00,0,,2016/05/26 00:00:00+00,L,,,,12.5,2304,O&G,RS C3,165000,10,2008/02/06 00:00:00+00,193,2304,H,Y,NR03-02,Posey                                                       ,6710,U3,U36710,1,02263,CHU,N,,0.00578968910122057,0.355233914400618
1927,Y02264,CPAI,,2016/04/21 00:00:00+00,RELINQ,2008/05/01 00:00:00+00,,2016/04/21 00:00:00+00,0,,2016/04/21 00:00:00+00,L,,,,12.5,2304,O&G,RS C3,20102135,10,2008/02/06 00:00:00+00,193,2304,H,Y,NR03-02,Posey                                                       ,6711,U3,U36711,1,02264,CHU,N,,0.00578915769983723,0.355246887393393
1928,Y02074,SHELL,,2016/03/30 00:00:00+00,RELINQ,2008/04/01 00:00:00+00,,2016/03/30 00:00:00+00,0,,2016/03/30 00:00:00+00,L,,,,12.5,2304,O&G,RS C3,3007899,10,2008/02/06 00:00:00+00,193,2304,H,Y,NR03-01,Karo                                                        ,6712,KR,KR6712,1,02074,CHU,N,,0.00578868340107874,0.355264149938306
1929,Y00731,PLACID,,1994/10/31 00:00:00+00,EXPIR,1984/11/01 00:00:00+00,1994/10/31 00:00:00+00,1994/10/31 00:00:00+00,0,N,1994/10/31 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,2064960,10,1984/08/22 00:00:00+00,87,2304,H,Y,NR05-01,Dease Inlet                                                 ,556,DI,DI556,0,731,BFT,N,,0.00581272405088384,0.356566196940376
1930,Y00730,CHEVRON,,1994/10/31 00:00:00+00,EXPIR,1984/11/01 00:00:00+00,1994/10/31 00:00:00+00,1994/10/31 00:00:00+00,0,N,1994/10/31 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,8425728,10,1984/08/22 00:00:00+00,87,2304,H,Y,NR05-01,Dease Inlet                                                 ,555,DI,DI555,0,730,BFT,N,,0.00581156664975424,0.35655877082323
1931,Y00739,ARCO,,1986/10/24 00:00:00+00,EXPIR,1984/11/01 00:00:00+00,1994/10/31 00:00:00+00,1986/10/24 00:00:00+00,0,N,1986/10/24 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,937000,10,1984/08/22 00:00:00+00,87,2304,H,Y,NR05-01,Dease Inlet                                                 ,608,DI,DI608,0,739,BFT,N,,0.00580184460068267,0.355828272088566
1932,Y00738,ARCO,,1986/10/24 00:00:00+00,EXPIR,1984/11/01 00:00:00+00,1994/10/31 00:00:00+00,1986/10/24 00:00:00+00,0,N,1986/10/24 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,937000,10,1984/08/22 00:00:00+00,87,2304,H,Y,NR05-01,Dease Inlet                                                 ,607,DI,DI607,0,738,BFT,N,,0.00580191824883514,0.355847286770147
1933,Y00737,SOHIO,,1993/10/28 00:00:00+00,EXPIR,1984/11/01 00:00:00+00,1994/10/31 00:00:00+00,1993/10/28 00:00:00+00,0,N,1993/10/28 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,2546000,10,1984/08/22 00:00:00+00,87,2304,H,Y,NR05-01,Dease Inlet                                                 ,601,DI,DI601,0,737,BFT,N,,0.00579883584941854,0.355911580179214
